date,price,long,model,actions
2019-04-02,1200.48999,1084563.597824426,1108703.1230535062,8
2019-04-03,1205.920044,1090066.1268077982,1114328.1238195237,8
2019-04-04,1215.0,1094996.7118034607,1119368.4506331265,8
2019-04-05,1207.150024,1103241.4723187112,1127796.7177724834,8
2019-04-08,1203.839966,1096113.5553805165,1120510.1522026127,8
2019-04-09,1197.25,1093107.9642188866,1117437.6645087556,8
2019-04-10,1202.160034,1087124.1586284584,1111320.6751877414,8
2019-04-11,1204.619995,1091582.5562739687,1115878.3050061374,8
2019-04-12,1217.869995,1093816.2443360975,1118161.7090733377,8
2019-04-15,1221.099976,1105847.478499244,1130460.7267774409,8
2019-04-16,1227.130005,1108780.3583296977,1133458.884777661,8
2019-04-17,1236.339966,1114255.7312285327,1139056.1250363218,8
2019-04-18,1236.369995,1122618.5385813212,1147605.0664244804,8
2019-04-22,1248.839966,1122645.8054440145,1147632.9401756227,8
2019-04-23,1264.550049,1133968.75948995,1159207.9133151437,8
2019-04-24,1256.0,1148233.7924933813,1173790.4483302329,8
2019-04-25,1263.449951,1140470.1968990134,1165854.0555738593,8
2019-04-26,1272.180054,1147234.88406769,1172769.306837535,8
2019-04-29,1287.579956,1155161.9718760967,1180872.8307134325,8
2019-04-30,1188.47998,1169145.3550497952,1195167.4471164104,8
2019-05-01,1168.079956,1079160.825478611,1103180.0992446968,8
2019-05-02,1162.609985,1060637.2431633049,1084244.230841668,8
2019-05-03,1185.400024,1055670.4128262014,1079166.8519609186,8
2019-05-06,1189.390015,1076364.1709995025,1100321.1986128585,8
2019-05-07,1174.099976,1079987.1533413776,1104024.8189863083,8
2019-05-08,1166.27002,1066103.5277132539,1089832.1804687667,8
2019-05-09,1162.380005,1058993.7892888663,1082564.1980184761,8
2019-05-10,1164.27002,1055461.586921836,1078953.3781426854,8
2019-05-13,1132.030029,1057177.7539434857,1080707.74251597,8
2019-05-14,1120.439941,1027903.2723481096,1050781.6881696207,8
2019-05-15,1164.209961,1017379.267616074,1040023.4468485556,8
2019-05-16,1178.97998,1057123.2193100818,1080651.9940854574,8
2019-05-17,1162.300049,1070534.6575880533,1094361.9356077928,8
2019-05-20,1138.849976,1055388.9854607983,1078879.1607646062,8
2019-05-21,1149.630005,1034095.9047509208,1057112.1522370959,8
2019-05-22,1151.420044,1043884.3615950347,1067118.4743142086,8
2019-05-23,1140.77002,1045509.7486418396,1068780.038189834,8
2019-05-24,1133.469971,1035839.3386352637,1058894.3903615228,8
2019-05-28,1134.150024,1029210.7651317586,1052118.2822942156,8
2019-05-29,1116.459961,1029828.2652741248,1052749.5263611386,8
2019-05-30,1117.949951,1013765.37543912,1036329.1189631233,8
2019-05-31,1103.630005,1015118.3126912519,1037712.1690302129,8
2019-06-03,1036.22998,1002115.548651281,1024419.9977565673,8
2019-06-04,1053.050049,940915.1348115132,961857.4241164166,8
2019-06-05,1042.219971,956188.0547193834,977470.278940208,8
2019-06-06,1044.339966,946354.152498769,967417.4999923726,8
2019-06-07,1066.040039,948279.1454247842,969385.3381838904,8
2019-06-10,1080.380005,967983.1952074537,989527.948146708,8
2019-06-11,1078.719971,981004.1377612316,1002838.7025399334,8
2019-06-12,1077.030029,979496.7975519649,1001297.8129131098,8
2019-06-13,1088.77002,977962.3003501433,999729.1618507017,8
2019-06-14,1085.349976,988622.4196553683,1010626.5472963629,8
2019-06-17,1092.5,985516.9592619899,1007451.9675450564,8
2019-06-18,1103.599976,992009.3074141497,1014088.8182439819,8
2019-06-19,1102.329956,1002088.2817885878,1024392.124005425,8
2019-06-20,1111.420044,1000935.0811839178,1023213.2561967786,8
2019-06-21,1121.880005,1009189.0417342277,1031650.9281397111,8
2019-06-24,1115.52002,1018686.871177879,1041360.154216936,8
2019-06-25,1086.349976,1012911.8923998338,1035456.6396423826,8
2019-06-26,1079.800049,986424.9769346802,1008380.1952963095,8
2019-06-27,1076.01001,980477.5274638488,1002300.3712862277,8
2019-06-28,1080.910034,977036.1050716634,998782.3519080962,8
2019-07-01,1097.949951,981485.41346027,1003330.6901667024,8
2019-07-02,1111.25,996957.959237446,1019147.6140051514,8
2019-07-03,1121.579956,1009034.6387770928,1031493.088579977,8
2019-07-05,1131.589966,1018414.421383206,1041081.6404084002,8
2019-07-08,1116.349976,1027503.6873670126,1050373.209480721,8
2019-07-09,1124.829956,1013665.5071153891,1036227.0278339017,8
2019-07-10,1140.47998,1021365.4788194494,1044098.3805999728,8
2019-07-11,1144.209961,1035575.9771894768,1058625.1671845494,8
2019-07-12,1144.900024,1038962.8658562758,1062087.439060396,8
2019-07-15,1150.339966,1039589.4552555454,1062727.974687109,8
2019-07-16,1153.579956,1044529.0187299557,1067777.4798167162,8
2019-07-17,1146.349976,1047470.9869092955,1070784.9284484985,8
2019-07-18,1146.329956,1040906.0372960981,1064073.8603714937,8
2019-07-19,1130.099976,1040887.8587822908,1064055.277251914,8
2019-07-22,1138.069946,1026150.7501148807,1048990.1594136313,8
2019-07-23,1146.209961,1033387.6237256923,1056388.106744286,8
2019-07-24,1137.810059,1040778.9012016563,1063943.8945629022,8
2019-07-25,1132.119995,1033151.6417367897,1056146.8724186958,8
2019-07-26,1250.410034,1027984.9630660509,1050865.19710749,8
2019-07-29,1239.410034,1135394.4089812755,1160665.2940040983,8
2019-07-30,1225.140015,1125406.214581682,1150454.7887403143,8
2019-07-31,1216.680054,1112448.7851400557,1137208.9610936057,8
2019-08-01,1209.01001,1104766.991041785,1129356.190518887,8
2019-08-02,1193.98999,1097802.4555394729,1122236.6428247548,8
2019-08-05,1152.319946,1084164.0119353114,1108294.6434363788,8
2019-08-06,1169.949951,1046326.8755615291,1069615.3521996422,8
2019-08-07,1173.98999,1062335.2316711473,1085980.0120953727,8
2019-08-08,1204.800049,1066003.6584815052,1089730.0884113174,8
2019-08-09,1188.01001,1093979.736550136,1118328.8401928619,8
2019-08-12,1174.709961,1078734.0844129766,1102743.8600484403,8
2019-08-13,1197.27002,1066657.40487333,1090398.3854736148,8
2019-08-14,1164.290039,1087142.3371422656,1111339.2583073212,8
2019-08-15,1167.26001,1057195.9315492753,1080726.3247073223,8
2019-08-16,1177.599976,1059892.717704653,1083483.134209939,8
2019-08-19,1198.449951,1069281.58956767,1093080.9775981524,8
2019-08-20,1182.689941,1088213.7353428209,1112434.5030060853,8
2019-08-21,1191.25,1073903.367741045,1097805.6243640594,8
2019-08-22,1189.530029,1081676.0525923166,1105751.3086802228,8
2019-08-23,1151.290039,1080114.2885278019,1104154.7838666723,8
2019-08-26,1168.890015,1045391.7018043015,1068659.3639410324,8
2019-08-27,1167.839966,1061372.7910512267,1084996.1500856203,8
2019-08-28,1171.02002,1060419.3280020359,1084021.4654636448,8
2019-08-29,1192.849976,1063306.8732341453,1086973.2798369282,8
2019-08-30,1188.099976,1083128.8590761968,1107236.4508047616,8
2019-09-03,1168.390015,1078815.775130918,1102827.3689863097,8
2019-09-04,1181.410034,1060918.7822148814,1084532.0362099938,8
2019-09-05,1211.380005,1072741.1895656448,1096617.579167636,8
2019-09-06,1204.930054,1099954.4528836606,1124436.537954086,8
2019-09-09,1204.410034,1094097.783387674,1118449.5144416634,8
2019-09-10,1206.0,1093625.5960375217,1117966.8174464568,8
2019-09-11,1220.170044,1095069.3132644985,1119442.6680112057,8
2019-09-12,1234.25,1107935.9636392975,1132595.6960884829,8
2019-09-13,1239.560059,1120720.8125179994,1145665.101984105,8
2019-09-16,1231.300049,1125542.4399330274,1150594.0461086961,8
2019-09-17,1229.150024,1118042.204876429,1142926.8756010681,8
2019-09-18,1232.410034,1116089.944179703,1140931.1627301804,8
2019-09-19,1238.709961,1119050.09087285,1143957.1944815428,8
2019-09-20,1229.930054,1124770.535925509,1149804.9615538113,8
2019-09-23,1234.030029,1116798.2252049316,1141655.2082229902,8
2019-09-24,1218.76001,1120521.07496252,1145460.918797434,8
2019-09-25,1246.52002,1106655.6278482033,1131286.8633994723,8
2019-09-26,1241.390015,1131862.2075222626,1157054.475056535,8
2019-09-27,1225.089966,1127204.0723212732,1152292.6620514682,8
2019-09-30,1219.0,1112403.3397635554,1137162.5042228834,8
2019-10-01,1205.099976,1106873.5430094723,1131509.6287774956,8
2019-10-02,1176.630005,1094252.075566653,1118607.2407576118,8
2019-10-03,1187.829956,1068400.8387576728,1092180.6235980417,8
2019-10-04,1209.0,1078570.5921989381,1102576.7289289164,8
2019-10-07,1207.680054,1097793.3662825692,1122227.351264965,8
2019-10-08,1189.130005,1096594.8319875724,1121002.1407576094,8
2019-10-09,1202.310059,1079751.0596663016,1103783.4704887052,8
2019-10-10,1208.670044,1091718.781625314,1116017.5623745192,8
2019-10-11,1215.449951,1097493.760403359,1121921.0769490723,8
2019-10-14,1217.140015,1103650.0357785558,1128214.3747773874,8
2019-10-15,1243.01001,1105184.6437585333,1129783.139083581,8
2019-10-16,1243.640015,1128675.056410943,1153796.3863673594,8
2019-10-17,1253.069946,1129247.1120848262,1154381.1744917876,8
2019-10-18,1245.48999,1137809.6560850765,1163134.2981383894,8
2019-10-21,1246.150024,1130926.9220788616,1156098.372625912,8
2019-10-22,1242.800049,1131526.2446154382,1156711.0345014827,8
2019-10-23,1259.130005,1128484.4081123674,1153601.4947404785,8
2019-10-24,1260.98999,1143312.2967546224,1168759.41307642,8
2019-10-25,1265.130005,1145001.1960055612,1170485.9027703346,8
2019-10-28,1290.0,1148760.402790764,1174328.7795839387,8
2019-10-29,1262.619995,1171342.7977704834,1197413.7991164639,8
2019-10-30,1261.290039,1146481.2693521348,1171998.918646016,8
2019-10-31,1260.109985,1145273.6458002343,1170764.4165788703,8
2019-11-01,1273.73999,1144202.1359135055,1169669.0577080932,8
2019-11-04,1291.369995,1156578.4213323626,1182320.8065988114,8
2019-11-05,1292.030029,1172586.7774419808,1198685.4664945418,8
2019-11-06,1291.800049,1173186.0999785573,1199298.1283701123,8
2019-11-07,1308.859985,1172977.274074192,1199084.654551879,8
2019-11-08,1311.369995,1188467.9974571574,1214920.1605816805,8
2019-11-11,1299.189941,1190747.1308957867,1217250.0215196032,8
2019-11-12,1298.800049,1179687.4266094647,1205944.1573850424,8
2019-11-13,1298.0,1179333.397783024,1205582.2488106505,8
2019-11-14,1311.459961,1178606.9391520058,1204839.6211264883,8
2019-11-15,1334.869995,1190828.821613728,1217333.5304574724,8
2019-11-18,1320.699951,1212085.5462040086,1239063.3736740504,8
2019-11-19,1315.459961,1199218.8958292096,1225910.3455967733,8
2019-11-20,1303.050049,1194460.8923044892,1221046.4414624847,8
2019-11-21,1301.349976,1183192.4728919577,1209527.216753476,8
2019-11-22,1295.339966,1181648.776563094,1207949.1618157201,8
2019-11-25,1306.689941,1176191.5812700486,1202370.5037484118,8
2019-11-26,1313.550049,1186497.5591546418,1212905.8655194403,8
2019-11-27,1312.98999,1192726.6584552058,1219273.6081416334,8
2019-11-29,1304.959961,1192218.1149854567,1218753.7458354945,8
2019-12-02,1289.920044,1184926.706741241,1211300.0500743275,8
2019-12-03,1295.280029,1171270.1963094457,1197339.5817383847,8
2019-12-04,1320.540039,1176137.1574148007,1202314.8685616849,8
2019-12-05,1328.130005,1199073.6929071343,1225761.910840615,8
2019-12-06,1340.619995,1205965.5161702528,1232807.1279128822,8
2019-12-09,1343.560059,1217306.647821978,1244400.6832437555,8
2019-12-10,1344.660034,1219976.2778928184,1247129.7322390156,8
2019-12-11,1345.02002,1220975.074632336,1248150.7595597003,8
2019-12-12,1350.27002,1221301.948282257,1248484.9085549628,8
2019-12-13,1347.829956,1226069.041063881,1253358.1042490415,8
2019-12-16,1361.170044,1223853.4198293858,1251093.169129408,8
2019-12-17,1355.119995,1235966.4554886294,1263475.809015166,8
2019-12-18,1352.619995,1230472.9040759872,1257859.985636925,8
2019-12-19,1356.040039,1228202.8598942615,1255539.4162587924,8
2019-12-20,1349.589966,1231308.3202876397,1258713.996010099,8
2019-12-23,1348.839966,1225451.5400134975,1252726.8592538908,8
2019-12-24,1343.560059,1224770.5267589795,1252030.6884404512,8
2019-12-26,1360.400024,1219976.2778928184,1247129.7322390156,8
2019-12-27,1351.890015,1235267.2637203045,1262761.055082146,8
